# symbol	classification	core reachability	preserved behavior	source/evidence
ftKp_SpecialS_80132DD0	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKp_SpecialS_80132DE0	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKp_SpecialS_80132DF0	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKp_SpecialS_80132E00	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureDamageMasterHand_Anim	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureDamageMasterHand_Coll	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureDamageMasterHand_IASA	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureDamageMasterHand_Phys	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureMasterHand_Anim	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureMasterHand_Coll	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureMasterHand_IASA	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureMasterHand_Phys	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureWaitMasterHand_Anim	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureWaitMasterHand_Coll	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureWaitMasterHand_IASA	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_CaptureWaitMasterHand_Phys	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_ThrownMasterHand_Anim	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_ThrownMasterHand_Coll	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_ThrownMasterHand_IASA	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_ThrownMasterHand_Phys	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftSb_Init_8014FBA4	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftSs_Init_CreateThrowGrappleBeam	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Shield_8012C1D4	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Shield_8012C49C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Shield_8012C850	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_SpecialN_8012CD40	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_SpecialN_8012CD88	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_SpecialN_GetExtAttr28	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_SpecialN_GetExtAttr2C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_SpecialN_GetExtAttr34	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_SpecialN_GetExtAttr38	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
grKongo_801D8270	unsupported-stage branch	unreachable	named abort	Final Destination cannot dispatch Kongo/Old Kongo owners
grOldKongo_802105AC	unsupported-stage branch	unreachable	named abort	Final Destination cannot dispatch Kongo/Old Kongo owners
it_80291CCC	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80291CF4	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80291FA8	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80292E64	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802944AC	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802946B0	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802947CC	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80295F38	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802B7B84	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802B7C18	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802BAA58	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802BAAE4	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802BAC3C	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802BAC80	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802BACC4	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802EAE80	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
GXBegin	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXCallDisplayList	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXClearVtxDesc	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXInitTexObj	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXInitTexObjCI	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXInitTexObjLOD	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXInitTlutObj	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXLoadNrmMtxImm	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXLoadPosMtxImm	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXLoadTexMtxImm	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXLoadTexObj	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXLoadTlut	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXPixModeSync	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetAlphaCompare	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetAlphaUpdate	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetArray	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetBlendMode	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetChanAmbColor	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetChanCtrl	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetChanMatColor	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetColorUpdate	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetCullMode	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetCurrentMtx	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetDither	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetDstAlpha	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetNumChans	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetNumTevStages	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetNumTexGens	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevAlphaIn	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevAlphaOp	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevColor	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevColorIn	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevColorOp	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevColorS10	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevKAlphaSel	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevKColor	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevKColorSel	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevOp	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevOrder	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTevSwapMode	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetTexCoordGen2	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetVtxAttrFmt	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetVtxDesc	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetZCompLoc	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
GXSetZMode	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_CObjGetCurrent	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_CObjGetInvViewingMtxPtrDirect	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_JObjDisp	renderer/platform exclusion	unreachable	named abort	DObj/GX display callback is retained only for link closure and is not scheduled headlessly
HSD_JObjDispSub	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_JObjMakePositionMtx	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_LObjGetActiveByID	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_LObjGetActiveByIndex	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_LObjGetCurrentByType	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_LObjGetLightMaskAlpha	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_LObjGetLightMaskDiffuse	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_LObjGetLightMaskSpecular	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_LObjGetLightVector	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_LObjGetNbActive	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_LObjSetup	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
_HSD_mkEnvelopeModelNodeMtx	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
HSD_ByteCodeEval	renderer/platform exclusion	unreachable	named abort	GX/light/display callback is retained only for link closure and is not scheduled headlessly
